,Name,GPA,Gender,Experience (yrs),School,Accepted
131,Dan Ventura,3.7942130322757,1,0.0,MIT,0
132,Dave Nichols,3.247776593449846,1,4.0,Penn,0
133,Brent Sawyer,3.9767022264454823,1,1.0,MIT,1
134,David Hess,3.788475637728349,1,3.0,USC,0
135,Tony Ranson,3.9176191397128504,1,1.0,MIT,1
136,Clayton Brewer,3.8773470407361454,1,0.0,MIT,0
137,Christopher Pilla,3.33100373007056,1,1.0,USC,0
138,David Whitmer,3.0426966069669135,1,1.0,USC,0
139,Jason Intrieri,3.247116527381963,1,3.0,USC,0
140,Edward Hammond,3.2159710779834065,1,2.0,MIT,0
141,Clyde King,3.6002370564952537,1,0.0,Penn,1
142,Roy Baham,3.5251269422562954,1,0.0,USC,0
143,Patrick Lukowski,3.560726773296936,1,3.0,Penn,1
144,Roy Mackie,3.4504998477904048,1,0.0,USC,0
145,John Dingle,3.8271199168117462,1,2.0,MIT,1
146,Kenneth Hinton,2.7911709724337967,1,0.0,USC,0
147,Ronald Roza,3.9136306962731435,1,0.0,MIT,0
148,Robert King,3.0584961717441814,1,0.0,USC,0
149,James Dunlap,3.8515821386392863,1,2.0,USC,1
150,Ernest Vaughn,3.9295141889853564,1,1.0,USC,0
151,Greg Fish,3.5405419491310224,1,0.0,MIT,1
152,Jarred Hyatt,3.685731841016837,1,2.0,USC,1
153,Cathy Mcnally,2.947957325948363,0,0.0,Wellesley,0
154,James Pittman,3.8584331094834816,1,1.0,MIT,1
155,Vernon Burton,3.821168132546304,1,2.0,Penn,1
156,Joe Terry,3.185641296949568,1,2.0,MIT,1
157,Crystal Clark,3.073197598082558,0,0.0,Wellesley,0
158,Stephen Garza,3.816638963340406,1,1.0,Cornell,1
159,Paul Mauch,3.73654350329782,1,0.0,MIT,1
160,Jeff Brown,3.685178836264945,1,3.0,MIT,0
161,Richard Stepp,3.7080714292325747,1,1.0,MIT,1
162,Kevin Stoops,3.939867182626084,1,0.0,MIT,1
163,Richard Whitman,3.1316459654124804,1,3.0,MIT,0
164,Ernest Fisher,3.828565640855393,1,0.0,Penn,0
165,Timothy Williams,3.5323100143037722,1,0.0,USC,0
166,Cameron Gentry,3.0413013526121913,1,1.0,USC,0
167,Joseph Hall,3.448010984143299,1,1.0,Penn,0
168,Kristin Lovelace,3.8591809606419503,0,1.0,Penn,0
169,Carlos Pattison,3.087283697771156,1,3.0,USC,0
170,Roger Kinsella,2.913390389612229,1,1.0,Cornell,0
171,Larry Hogan,3.309836537429935,1,0.0,MIT,0
172,Lawrence Casano,3.4999964485426345,1,0.0,MIT,1
173,Wilbert Gerry,3.2350138568729063,1,0.0,MIT,0
174,John Smith,3.2339573432379165,1,1.0,USC,0
175,Louis Arias,3.811932462872072,1,2.0,USC,1
176,Steven Beachler,3.6101328343959027,1,1.0,MIT,1
177,Jose Wickliff,3.790360207798674,1,2.0,MIT,0
178,Nickolas Glick,3.5263521652061107,1,2.0,Penn,0
179,Alfred Lemen,3.9353473321503523,1,1.0,USC,0
180,William Brazell,2.97025171040498,1,3.0,USC,0
181,Steven Pagan,3.1251529373348124,1,1.0,MIT,0
182,George Laman,3.4765660085337844,1,4.0,Penn,0
183,Daniel Webb,3.7924935715743753,1,0.0,MIT,1
184,Michael Lawson,3.6314033405964095,1,1.0,Penn,0
185,Harry Henry,3.4382523799165643,1,3.0,Cornell,0
186,Trenton Bowen,2.9122859527099307,1,3.0,USC,0
187,Ben Gardner,3.1168700248106376,1,1.0,USC,0
188,Mary Alvarado,3.3761744140388945,1,0.0,USC,0
189,Jonathan Silversmith,3.268845584981649,1,0.0,USC,1
190,Donald Champney,3.3597483925213587,1,2.0,MIT,1
191,Michael Zimmer,3.631716139876831,1,0.0,MIT,1
192,Joseph Doles,3.5912364581928338,1,3.0,MIT,0
193,Geraldine Latney,3.9276539216115123,0,0.0,Penn,0
194,Patrick Ellingson,3.4881088713248216,1,3.0,USC,1
195,Aaron Beuth,3.637587318791072,1,3.0,USC,1
196,Jeff Cain,3.777524701799062,1,1.0,USC,1
197,Daniel Smith,3.019069697687915,1,3.0,Penn,0
198,Wallace Quezada,3.6306999387176595,1,1.0,USC,1
199,Gilbert Cook,3.923040327694353,1,1.0,USC,0
200,Clifton Hill,3.4636878001063907,1,1.0,USC,0
201,James Couper,3.5463263169357,1,0.0,Penn,1
202,Robert Williams,3.35085679287072,1,2.0,USC,1
203,Gerald Smith,3.6211912045081522,1,3.0,Penn,1
204,Phillip Nelson,3.830891830956194,1,3.0,Cornell,1
205,Trevor Reed,3.1608318300507876,1,3.0,USC,0
206,David Mounts,3.8206986847482742,1,0.0,USC,1
207,David Owens,3.5421493092802963,1,2.0,Cornell,0
208,Richard Kester,3.6658979311716364,1,2.0,Cornell,1
209,Thomas Davis,3.7411635545044106,1,2.0,USC,1
210,Thomas Jones,3.391757042657808,1,0.0,MIT,0
211,Roy Airington,3.2249437663932663,1,1.0,MIT,1
212,James Wilson,3.0924596328475813,1,2.0,USC,0
213,Justin Rundlett,3.326757257240445,1,0.0,MIT,0
214,Dan Jordan,3.756182370291708,1,1.0,USC,1
215,Arnold Bond,3.783438328488425,1,1.0,Cornell,1
216,Frank Santoro,3.296461058818639,1,1.0,MIT,0
217,Michael Carman,3.797016123551504,1,0.0,USC,0
218,Sherry Montes,3.56975662746407,0,3.0,Wellesley,0
219,Felix Honaker,3.560609948006667,1,0.0,MIT,0
220,Brian Landry,3.7577069665506317,1,4.0,USC,0
221,Gerald Edison,3.6548058900517852,1,0.0,MIT,0
222,Jonathan Nestle,3.6307142653729514,1,0.0,USC,0
223,Howard Washington,3.7130332207657553,1,0.0,USC,0
224,Billy Vasquez,3.4901279530722564,1,2.0,Cornell,0
225,Carroll Gray,3.837337743339592,1,1.0,USC,0
226,Ron Bair,3.2898535168294822,1,1.0,Cornell,0
227,Andy Carroll,3.5369264142139034,1,1.0,Penn,0
228,Brandon Davison,3.286341679262451,1,3.0,USC,0
229,Arthur Bailey,3.5658959472742144,1,0.0,MIT,0
230,Ricky Coulter,3.501887644002191,1,0.0,MIT,0
231,Stephen Lewis,3.1936123715864686,1,0.0,MIT,0
232,Nicholas Keith,3.4083138546194105,1,0.0,MIT,0
233,Jeffrey Corey,3.7350405047947968,1,0.0,USC,0
234,Steven Depew,3.071689206646013,1,0.0,Cornell,0
235,Ian Hansen,3.672049230912199,1,2.0,Penn,1
236,Daniel Bass,3.369207061561739,1,0.0,Penn,0
237,Andrew Mermis,3.8613646244327358,1,0.0,Penn,1
238,Frank Girven,3.0365337894087308,1,2.0,MIT,0
239,Kenneth Galloway,3.7413827227749676,1,4.0,MIT,1
240,Harold Hewes,3.2844442201615287,1,2.0,MIT,0
241,Allen Furrer,3.860073605973293,1,3.0,Cornell,1
242,Jessie Moore,3.212935845571543,1,1.0,Cornell,0
243,Mario Ruff,3.2625722225909426,1,0.0,Penn,0
244,Oliver Mayoras,3.272945006217041,1,1.0,USC,0
245,Jason Haugen,3.387693748597731,1,4.0,Cornell,0
246,Dwight Hallock,3.6036446498832957,1,3.0,MIT,1
247,Rickey Walker,3.553037098074082,1,2.0,MIT,1
248,Henry Dupree,3.471041546867308,1,0.0,MIT,1
249,Alexander Hanson,3.5991781830701464,1,0.0,USC,0
250,John White,3.6824023239898676,1,1.0,USC,0
251,David Conway,3.2436992991688696,1,2.0,USC,1
252,Steven Armstrong,3.0757523532786957,1,0.0,Penn,0
253,Sean Gutirrez,3.9013103959538764,1,2.0,MIT,1
254,Will Fischer,3.1210521609836483,1,2.0,Penn,0
255,Richard Boldt,3.6751973369555246,1,0.0,MIT,1
256,Phillip Henderson,3.403261414423255,1,1.0,Penn,0
257,Vincent Cordeiro,3.50821613526952,1,2.0,Cornell,1
258,Ronald Porter,3.3495106236167187,1,2.0,MIT,0
259,Mario Quinton,3.271862818920005,1,0.0,USC,1
260,Curtis Jackson,3.306304770335118,1,2.0,USC,1
261,Antonio Wise,3.6304461519162334,1,0.0,USC,0
262,Keith Boykin,3.811120478909359,1,1.0,MIT,1
263,Eric Kennedy,3.692407702304834,1,1.0,USC,0
264,Peter Davey,3.796304426061412,1,0.0,USC,0
265,Jackie Jones,3.5592153817426486,1,2.0,USC,0
266,Vernice Lehoux,3.7950153776572986,0,1.0,Wellesley,0
267,David Broderick,3.5927403560435995,1,0.0,USC,0
268,Alonzo Hannah,3.1770994675699122,1,0.0,USC,0
269,Joseph Tucker,3.484443484622773,1,1.0,USC,0
270,Maryann Burk,3.87729105133693,0,1.0,Barnard,0
271,Frank Dutton,3.2218943756840135,1,2.0,USC,0
272,Stephen Clark,3.071063431628286,1,2.0,USC,1
273,Willie Kidd,3.8548169606791634,1,2.0,MIT,1
274,Nathan Mahon,2.7607377372470663,1,1.0,USC,0
275,Clifton Jamison,3.2742886581907222,1,1.0,MIT,0
276,Julian Mutter,3.3036009416168937,1,3.0,Penn,0
277,Russell Saleha,3.207338174193211,1,0.0,MIT,0
278,John Edgar,3.5495547323066914,1,0.0,MIT,1
279,Elsie Gramc,3.139253594190711,0,3.0,Barnard,0
280,Robert Pelletier,3.9052306482884123,1,2.0,Cornell,1
281,Robert Allen,3.0561462973741005,1,3.0,MIT,0
282,Nicholas Goodwill,3.685423231323373,1,2.0,USC,1
283,Michael Sandlan,3.1660375727101777,1,1.0,Penn,1
284,Justin Patel,3.5029408195032157,1,0.0,USC,0
285,Richard Jackson,3.4905269562991044,1,1.0,USC,1
286,John Wardinsky,3.7797220860178964,1,1.0,Cornell,1
287,Jackie Perrington,3.6289982301709696,1,0.0,MIT,0
288,Maurice Vaughan,3.3921208082755276,1,2.0,USC,1
289,Timothy Fitzgerald,3.5825838351125285,1,0.0,Penn,0
290,Dewey Morgret,3.6705711047834075,1,1.0,USC,0
291,Tony Tibolla,3.2065885169777593,1,0.0,USC,1
292,Jonathan Wright,3.4980647286077775,1,2.0,USC,0
293,Alexander Rios,3.1878887970141143,1,1.0,Penn,0
294,William Watson,3.4210646585177122,1,3.0,USC,0
295,Henry Martenez,3.231761339448408,1,3.0,MIT,0
296,Patricia Resner,3.4467983238253184,0,0.0,Barnard,0
297,William Ruthledge,3.4930416033031673,1,2.0,MIT,0
298,Pamela Batty,3.694558376821003,0,0.0,Wellesley,0
299,John Wismer,3.6516670990304725,1,2.0,MIT,1
300,Mark Rice,3.6374633747888776,1,1.0,MIT,1
301,Robert Stump,3.74921316532982,1,0.0,USC,0
302,Richard Ortiz,3.3267290613770504,1,2.0,Penn,1
303,Patrick Hedgecock,3.81149737604345,1,1.0,MIT,0
304,Oscar Freeman,3.656798344991638,1,1.0,Penn,1
305,Edward Langley,3.0662367438806566,1,0.0,Cornell,1
306,Charles Pecatoste,2.9558677001090534,1,2.0,MIT,0
307,Anthony Lairy,3.832379446153954,1,0.0,USC,1
308,Billy Preciado,3.5396397484770823,1,1.0,MIT,0
309,Cesar Pierce,3.4517690850435434,1,0.0,USC,0
310,Anthony Heifner,3.1628597116296335,1,0.0,USC,1
311,Gregory Hastings,3.3573691787480575,1,0.0,MIT,0
312,Darrell Parker,3.8523560336266267,1,0.0,USC,0
313,Steve Taylor,3.507114994176461,1,1.0,USC,0
314,Jack Barber,3.6701604729295374,1,4.0,USC,1
315,Roman Morales,3.394484615722459,1,1.0,USC,0
316,Johnathan Smith,3.6995871216749237,1,1.0,USC,1
317,Eugene Pro,3.709848679638383,1,0.0,Cornell,1
318,Tim Hernandez,3.0009010501492783,1,1.0,USC,0
319,Paul Welch,3.551091121331657,1,2.0,MIT,0
320,Roger Arce,3.8057376280696795,1,1.0,Cornell,1
321,Christopher York,3.2761196888315887,1,0.0,MIT,0
322,Robert Adams,3.204893453328399,1,0.0,MIT,0
323,Manuel Brinson,3.0374762063189795,1,1.0,USC,0
324,Jose Spivey,3.0362441439670076,1,2.0,USC,0
325,Richard Brown,3.389295219478636,1,0.0,Penn,0
326,Clarence Walker,3.43908384809023,1,2.0,Cornell,0
327,George Turner,3.6336019924684413,1,0.0,USC,0
328,Humberto Eads,3.6764990196097562,1,1.0,MIT,0
329,Joseph Jozwiak,3.450535368392906,1,0.0,Penn,0
330,William Brown,3.6209502918648013,1,0.0,Penn,1
331,William Finley,2.8361057770536386,1,2.0,Penn,0
332,Doug Bellamy,3.4630684475904343,1,1.0,USC,0
333,Charles Parker,3.4251850474027856,1,0.0,Penn,1
334,Percy Henderson,3.463093038892536,1,1.0,MIT,0
335,Christopher Sena,3.7887538272659063,1,2.0,Penn,1
336,Michael Mullins,3.635151492154799,1,3.0,MIT,0
337,John Kuszynski,3.6162515979468832,1,1.0,MIT,0
338,David Juarez,3.0548523723388104,1,2.0,Cornell,0
339,Earl Elk,3.511586897296838,1,1.0,USC,0
340,Lloyd Webb,3.347083454067637,1,1.0,Penn,0
341,Oscar Hutto,3.5291860823581453,1,0.0,MIT,0
342,Dwayne Tweed,3.4377164297689005,1,0.0,USC,0
343,Alan Mejia,3.6703546036260537,1,2.0,USC,1
344,Christopher Chapman,3.3304484542615547,1,3.0,Penn,1
345,Tony Fly,3.0230697865682865,1,1.0,USC,0
346,James Gray,3.776295004000177,1,3.0,MIT,1
347,James Ritzman,3.6921877162188377,1,0.0,USC,1
348,Charles Vela,3.0721553660880176,1,0.0,MIT,0
349,Clarence Cisneros,3.533046771085584,1,0.0,Penn,1
350,Eugenio Daniels,3.385774981900493,1,1.0,Penn,0
351,Mark Dubin,3.374097796709769,1,2.0,Cornell,1
352,Paul Simmons,3.363836836954984,1,1.0,Cornell,0
353,David Land,3.7188198985136536,1,1.0,MIT,1
354,Israel Richie,3.043209442895891,1,0.0,MIT,1
355,Christopher Briggs,3.284225247829232,1,1.0,Penn,0
356,Oscar Queen,3.421760648394824,1,1.0,Cornell,1
357,Terry Schuster,3.211628549336883,1,2.0,Penn,0
358,Dominic Adams,3.1081496732552063,1,0.0,Penn,0
359,Lee Totman,3.9396792168273063,1,1.0,Penn,1
360,Anthony Bell,3.3537777319760513,1,2.0,USC,1
361,Joseph Beagle,3.2694929904024814,1,2.0,MIT,0
362,Alfred Yamazaki,3.6441611753396126,1,3.0,Cornell,0
363,Curtis Cromwell,3.6033987324115144,1,1.0,MIT,1
364,Alfred Blanco,3.02109186794835,1,1.0,USC,0
365,Juan Kuykendall,3.3969928776857645,1,1.0,USC,0
366,James Cser,2.91452184344335,1,1.0,MIT,0
367,Carl Jackson,3.5075888736370606,1,2.0,MIT,0
368,Joanne Madlung,3.587040789415147,0,3.0,Barnard,0
369,Ronnie Pearson,3.6087049469109784,1,1.0,Cornell,1
370,Daniel Gonzales,3.3450493857669894,1,0.0,USC,0
371,Philip Hudspeth,3.8383807551464613,1,2.0,Cornell,1
372,Kyle Perez,3.0604378314109333,1,1.0,MIT,0
373,Peter Sage,3.360674842385181,1,1.0,MIT,0
374,Robert Good,3.4174030938683755,1,1.0,Penn,0
375,James Sharpe,3.054346991056015,1,0.0,MIT,0
376,Kieth Ray,3.488474586414253,1,2.0,USC,0
377,Theodore Logan,3.1467405049513264,1,0.0,USC,0
378,George Mckinnon,3.433423969805968,1,0.0,USC,0
379,Joseph Wilkins,3.7906593486398887,1,3.0,Cornell,0
380,Stephen Bell,3.7017507159949448,1,2.0,MIT,0
381,Jonathan Jeffries,3.5043144194763274,1,0.0,USC,1
382,Eric Mckay,3.3810541003470687,1,2.0,MIT,0
383,Tracy Mclean,3.3096396998179536,1,3.0,USC,0
384,Robert Lamb,3.324025928130725,1,0.0,USC,1
385,Chad Clark,3.468513903909344,1,0.0,Penn,0
386,Philip Monroe,3.822757715412898,1,0.0,MIT,0
387,John Rucker,3.0662281206182667,1,0.0,USC,0
388,Joe Martin,3.460386920191917,1,1.0,Penn,1
389,Cherry Everhardt,3.585774397285714,0,2.0,Wellesley,0
390,Amy Gavin,3.2696394657318146,0,0.0,Barnard,0
391,Steven Nobles,3.5081999684983014,1,0.0,Penn,0
392,Luz Lloyd,3.157390121431268,0,0.0,Wellesley,0
393,Merle Angle,3.254143554595274,1,0.0,Penn,0
394,Bill Smith,3.698041830667439,1,2.0,MIT,1
395,Peter Boyle,3.479597969204529,1,1.0,USC,0
396,Warren Young,3.5116216851454665,1,4.0,MIT,0
397,Jeff Kerr,3.6024754608328164,1,3.0,MIT,0
398,Larry Johnson,3.406835598167369,1,2.0,Penn,0
399,Brian Erickson,3.9332639457443928,1,3.0,Penn,1
400,Gary Sanford,3.4834544069394777,1,2.0,Cornell,1
401,David Fox,3.688366314045903,1,0.0,MIT,0
402,Donald Newton,3.4962306327027393,1,0.0,MIT,0
403,Heather Spink,3.359940169916971,0,2.0,Wellesley,0
404,David Mccloskey,3.9231648650104596,1,4.0,USC,1
405,Carlos Rodriguez,3.214507955035509,1,4.0,Penn,0
406,Jeffrey Sorge,3.766310416902491,1,0.0,MIT,1
407,James Hanson,3.3202572966369956,1,1.0,USC,0
408,Terry Bergeron,3.823774751963752,1,1.0,MIT,1
409,Barry Forbes,3.492596901538922,1,1.0,USC,0
410,Albert Miller,3.7861664885135355,1,0.0,MIT,0
411,Michael Daniels,3.4848118173423606,1,0.0,MIT,0
412,Juan Parker,3.442692999349135,1,0.0,MIT,0
413,Dustin Hatch,3.7171139282406243,1,0.0,Cornell,0
414,Charlie Cox,3.315562309394988,1,2.0,Cornell,0
415,Danny Burke,3.7182614975668242,1,3.0,MIT,1
416,Frankie Mitchell,3.434128585718559,1,3.0,Penn,0
417,David Gustafson,3.3705256931537213,1,1.0,Penn,0
418,Shawn Thomas,3.441754534880883,1,0.0,Penn,1
419,Jennifer Short,3.361083802045694,0,1.0,Barnard,0
420,Cecil Crowley,3.5629925779838416,1,0.0,USC,1
421,Tim Price,2.8621455925808563,1,4.0,MIT,0
422,Gary Wischmeyer,3.5395311602441915,1,2.0,MIT,0
423,Shelton Bartlett,3.7421115130842297,1,1.0,USC,0
424,Charles Deardorff,3.433819454693194,1,1.0,MIT,1
425,Thomas Ames,3.510787038927787,1,0.0,USC,0
426,Gabriel Mulligan,3.4919399081293188,1,2.0,MIT,0
427,Darryl Cullinan,3.7168331101573355,1,0.0,MIT,1
428,George Lott,2.9922287404141503,1,2.0,MIT,0
429,Eugene Cuellar,3.5181925289530334,1,1.0,USC,0
430,Kimberly Neff,3.1269907477314085,0,3.0,Penn,0
431,Keith Taylor,3.1562022599804966,1,0.0,USC,0
432,Alexander Long,3.649124990150715,1,3.0,MIT,0
433,Harry Byrd,3.145803858384189,1,2.0,USC,0
434,Sergio Enstad,3.630544248419322,1,3.0,MIT,1
435,Jerry Woody,3.6487854965775446,1,1.0,Penn,1
436,Alberto Phillips,3.3754626242057872,1,2.0,Penn,1
437,Erik Williams,3.1628135327277165,1,2.0,MIT,1
438,Charles Malkani,3.6078122078570023,1,0.0,MIT,0
439,Noah Kelley,3.8943971237549704,1,3.0,Penn,0
440,Desmond Peterman,3.611332195178479,1,1.0,Penn,1
441,James Lockett,3.45736229451242,1,2.0,MIT,0
442,Chester Kettle,3.7388970415446945,1,3.0,USC,0
443,Daniel Gooslin,3.97740958106421,1,1.0,USC,0
444,Ronald Smart,3.2616366304084967,1,1.0,USC,0
445,Roy Barker,3.2879754256329314,1,1.0,Cornell,0
446,William Richardson,3.1857391505881685,1,0.0,Penn,0
447,James Davison,3.8553988279674964,1,2.0,Penn,1
448,Theodore Miller,3.5678433620959633,1,0.0,USC,0
449,Steve Deck,2.9981920947458907,1,2.0,MIT,0
450,David Roof,3.6359167334871785,1,2.0,MIT,1
451,Martin Mccullough,3.5024457005615623,1,1.0,USC,0
452,James Smith,3.4431544361920956,1,0.0,MIT,0
453,Jeremy Wheeler,3.0676343318646624,1,2.0,MIT,0
454,Rob Hanna,3.6989086145457755,1,1.0,Cornell,1
455,Chad Wagner,3.849822884183138,1,0.0,USC,1
456,Ryan Goodrich,3.267209414710648,1,0.0,Penn,1
